RA[deg] Ê Ê Ê,Dec[deg] Ê
304.484,-74.761
317.129,13.407
112.31,-36.427
261.755,-73.349
108.023,73.068
0.439,-37.255
223.21,9.337
208.908,22.746
6.834,-30.242
195.583,-1.03
41.454,-65.47
68.827,33.025
214.353,-56.938
247.268,-22.549
204.026,-2.233
172.965,3.434
183.261,-20.091
338.239,-38.519
195.504,15.824
229.061,-28.353
130.712,-51.808
44.216,50.479
224.64,-0.011
114.402,-6.451
320.174,64.544
342.657,-51.501
297.425,-25.977
113.723,12.272
149.096,77.941
244.426,-20.57
216.535,-21.554
242.647,23.531
278.517,-23.338
166.426,-23.771
116.098,-2.739
120.832,20.999
169.154,-27.529
277.831,49.978
156.7,-8.022
338.576,-6.212
250.218,-48.84
249.626,-0.584
349.095,-10.738
90.323,-3.122
116.207,-71.851
217.551,-54.294
274.303,17.218
132.723,57.161
254.59,-22.109
261.583,-50.241
225.434,14.901
257.538,-50.337
209.36,-24.871
28.612,-74.33
194.562,-8.501
160.381,48.108
306.411,40.188
120.03,-52.756
353.766,-10.782
53.15,59.805
293.563,34.904
124.171,4.156
336.119,-19.308
117.73,-7.375
113.856,34.063
218.235,-62.835
271.256,-8.42
341.237,-28.25
290.445,-23.922
139.91,41.372
162.709,-1.115
13.759,-29.515
86.677,-87.355
75.062,10.578
206.087,1.847
7.94,24.832
254.342,6.13
123.271,-17.041
310.77,-24.438
169.638,-59.959
73.625,28.226
130.75,-28.961
348.483,-38.246
350.544,-26.41
65.686,41.52
4.913,-3.752
355.062,11.661
65.205,52.894
139.968,10.537
44.3,12.534
317.978,-62.276
141.923,2.227
83.565,-7.503
157.634,1.195
73.693,7.334
77.692,2.462
262.211,73.455
278.159,-17.249
209.821,-39.209
72.959,-60.935
1.711,3.44
39.378,49.611
139.66,21.174
285.849,45.779
299.078,-3.861
216.829,-42.217
67.69,53.931
180.798,9.778
144.907,-9.258
181.577,-52.075
28.488,-36.511
352.955,14.321
127.595,-22.612
176.349,27.866
179.186,25.658
41.215,-0.295
279.226,-57.679
39.861,18.329
351.449,-1.857
295.184,-39.015
217.9,-40.188
334.817,-6.444
276.483,-2.287
202.5,-21.288
202.041,-11.143
231.08,7.081
20.94,-23.061
337.885,-29.52
294.526,-36.167
70.836,20.573
242.422,10.91
271.873,-2.516
150.442,-6.623
89.252,-16.785
110.81,-5.414
296.243,15.068
118.762,52.599
88.794,-17.811
300.945,23.724
261.459,30.722
118.799,-54.638
323.27,-35.315
38.047,-17.22
31.631,-30.002
275.621,-19.634
124.732,-52.043
128.69,-81.342
168.656,-7.786
338.565,-34.97
240.196,-42.862
301.233,-80.665
120.496,18.839
145.535,23.159
247.764,-47.813
187.182,-34.202
123.619,-22.394
93.261,-64.377
303.354,43.168
54.372,-41.727
10.305,4.015
28.265,-32.01
275.411,-56.065
27.629,-70.668
234.888,36.819
115.438,-15.877
78.33,-37.268
243.402,-11.667
14.937,-7.248
65.861,-34.196
319.197,18.602
111.519,-63.603
265.159,-41.735
259.996,31.613
51.421,4.536
110.131,-20.518
100.605,17.983
271.371,-40.034
95.205,-50.449
243.745,-2.572
205.978,9.825
92.491,-55.485
344.586,-37.858
103.127,-17.464
50.077,46.333
29.643,37.722
345.557,-1.241
232.318,26.792
341.819,-30.262
311.908,57.237
68.568,-54.158
145.05,-8.729
313.465,5.401
51.028,-40.739
224.624,-43.466
139.163,2.304
177.325,-22.816
231.641,-15.861
317.714,58.025
325.095,55.434
218.082,-31.389
81.368,-4.881
158.249,-61.957
195.519,6.6
118.567,23.127
276.931,2.521
83.82,66.916
302.227,-54.855
257.875,-60.407
190.142,23.562
112.317,-15.432
359.428,-0.821
252.46,-39.24
343.107,-14.933
287.933,-11.066
53.422,41.224
170.796,12.738
295.826,-16.212
315.164,-39.91
21.736,-58.974
15.763,35.23
354.761,53.706
201.849,22.009
310.991,-25.415
30.844,6.9
314.247,-35.828
279.696,49.168
23.71,-21.575
247.667,67.971
111.384,12.899
254.838,-76.097
200.002,59.902
314.436,25.55
173.704,-7.36
263.641,-15.699
84.728,-29.036
211.829,-56.911
274.866,30.256
154.846,-57.466
351.323,24.414
278.09,28.656
101.123,58.729
212.651,-54.304
227.476,-2.878
329.031,-23.113
277.148,-49.171
315.054,-28.017
333.297,16.03
94.674,58.982
310.816,-28.517
335.496,8.51
141.452,-70.882
165.868,-27.899
317.986,-59.056
301.761,-22.889
224.89,7.403
359.971,0.497
34.83,0.05
36.916,-81.971
253.569,-14.108
36.257,59.593
300.696,-48.255
50.723,-23.923
134.211,-42.504
103.745,39.726
293.886,-48.66
349.35,16.729
316.445,42.239
307.42,0.335
279.287,-42.092
302.395,-9.734
226.808,-9.156
152.025,22.709
276.413,74.296
205.986,-53.202
157.396,-52.684
143.37,67.975
359.847,70.77
144.426,-4.27
140.074,-27.641
160.301,-50.285
246.457,-63.863
59.582,15.091
4.22,-19.161
150.69,-20.701
62.551,-16.836
278.475,-47.013
223.029,34.026
343.619,-19.908
332.851,42.012
122.577,-8.17
282.855,8.203
142.883,20.441
206.391,-25.593
33.352,-46.155
140.536,-36.147
203.777,-20.081
256.785,26.635
288.781,-27.275
162.277,-18.053
9.968,34.778
163.963,18.948
109.068,23.746
349.84,-60.367
131.283,40.049
25.458,-50.427
23.727,63.194
153.488,-11.498
62.032,-3.674
169.855,-64.753
220.08,64.713
252.623,-13.997
31.011,-64.056
80.979,-10.306
203.052,-48.623
52.246,-41.481
356.78,-40.231
130.01,-17.163
126.033,-85.439
353.296,-59.479
300.456,-8.655
333.666,-50.238
252.496,73.309
39.907,59.304
114.746,49.608
211.206,-42.79
326.873,-18.343
74.073,-23.882
70.382,24.466
242.045,-83.307
65.796,-47.153
201.986,-28.843
329.169,-49.658
206.099,-31.467
113.703,19.302
154.334,-43.961
270.306,49.739
224.648,39.353
274.641,-27.669
168.068,-8.163
240.506,-15.355
140.249,42.095
111.43,-8.081
330.48,-40.244
175.759,38.424
224.123,-7.285
156.143,6.498
35.251,24.499
227.527,-50.342
162.674,6.139
51.605,-24.773
235.643,28.766
173.86,-0.367
104.733,3.569
95.317,50.102
89.528,-78.603
110.483,-71.848
14.447,-30.852
250.275,-5.847
322.703,-0.506
161.731,-58.858
207.468,32.373
156.18,-4.328
276.184,-45.777
208.78,-0.651
74.894,-81.437
164.455,5.25
115.015,-4.819
245.895,-32.17
61.535,-70.509
107.056,-16.779
263.235,-63.36
236.439,-72.116
160.146,-77.493
177.812,-1.472
226.655,30.93
331.33,-41.147
90.018,-6.968
326.165,-19.355
168.887,68.544
217.914,17.482
165.656,-19.388
287.35,-53.707
347.975,43.53
349.532,-49.842
124.965,-32.662
138.801,-80.902
341.583,-30.243
309.096,-57.075
136.388,-21.884
198.622,-26.268
122.76,37.21
104.547,3.664
262.098,-9.584
127.791,-24.977
177.141,-18.082
264.299,-27.58
202.393,-12.956
313.751,-26.983
151.134,-9.828
196.793,-16.879
111.223,33.413
103.407,2.568
309.107,10.666
